 	2016-06-02 12:35:56	Local7.Warning	10.246.64.12	2366: Jun  2 07:06:19.523: %SW_MATM-4-MACFLAP_NOTIF: Host 185e.0f96.576c in vlan 24 is flapping between port Gi2/0/47 and port Gi4/0/47
2016-06-02 12:37:08	Local7.Warning	10.97.250.2	59143: Jun  2 07:07:29.782 UTC: %EARL_NETFLOW-DFC1-4-TCAM_THRLD: Netflow TCAM threshold exceeded, TCAM Utilization [90%]
2016-06-02 12:37:11	Local7.Warning	10.37.1.23	300152: Jun  2 07:07:33.340: %SW_MATM-4-MACFLAP_NOTIF: Host 001b.4f13.7016 in vlan 119 is flapping between port Gi3/0/23 and port Gi3/0/18
2016-06-02 12:37:11	Local7.Warning	10.71.1.66	20656: Jun  2 07:07:33.994 UTC: %SW_MATM-4-MACFLAP_NOTIF: Host e48d.8c95.0d47 in vlan 221 is flapping between port Fa0/16 and port Fa0/28
2016-06-02 12:37:11	Local7.Warning	10.93.1.17	348418: Jun  2 07:07:34.428 UTC: %C4K_LINECARDMGMTPROTOCOL-4-ONGOINGTIMEOUTWARNING: Astro 2-2(Fa2/9-16) - consecutive management requests timed out.
2016-06-02 12:37:17	Local7.Warning	10.87.250.2	271595: Jun  2 07:07:38.912 UTC: %MAC_MOVE-SP-4-NOTIF: Host 1008.b142.beda in vlan 216 is flapping between port Gi4/8 and port Gi4/9
2016-06-02 12:37:21	Local7.Warning	10.93.1.17	348419: Jun  2 07:07:44.312 UTC: %C4K_LINECARDMGMTPROTOCOL-4-ONGOINGTIMEOUTWARNING: Astro 2-4(Fa2/25-32) - consecutive management requests timed out.
2016-06-02 12:37:25	Local7.Warning	10.71.1.66	20657: Jun  2 07:07:48.012 UTC: %SW_MATM-4-MACFLAP_NOTIF: Host e48d.8c95.0d47 in vlan 221 is flapping between port Fa0/16 and port Fa0/28
2016-06-02 12:37:26	Local7.Notice	10.92.224.53	29570: Jun  2 07:07:49.248: %LINEPROTO-5-UPDOWN: Line protocol on Interface Serial0/0/1, changed state to down
2016-06-02 12:37:28	Local7.Warning	10.37.1.23	300153: Jun  2 07:07:50.501: %SW_MATM-4-MACFLAP_NOTIF: Host 001b.4f13.7016 in vlan 119 is flapping between port Gi3/0/23 and port Gi3/0/15
2016-06-02 12:37:30	Local3.Info	10.89.17.11	105775: Jun  2 07:07:53.320 UTC: %DOT11-6-ASSOC: Interface Dot11Radio0, Station   e09d.3124.a25c Associated KEY_MGMT[WPAv2]
2016-06-02 12:37:34	Local7.Error	10.92.224.53	29571: Jun  2 07:07:57.024: %LINK-3-UPDOWN: Interface Serial0/0/1, changed state to down
2016-06-02 12:37:35	Local3.Info	10.86.17.19	78725: Jun  2 07:07:57.944 UTC: %DOT11-6-ROAMED: Station 4851.b71c.8f22 Roamed to a055.4fc2.6f80
2016-06-02 12:37:35	Local3.Info	10.86.17.19	78726: Jun  2 07:07:57.944 UTC: %DOT11-6-DISASSOC: Interface Dot11Radio0, Deauthenticating Station 4851.b71c.8f22 Reason: Sending station has left the BSS
2016-06-02 12:37:35	Local7.Warning	10.93.1.17	348420: Jun  2 07:07:58.375 UTC: %C4K_LINECARDMGMTPROTOCOL-4-ONGOINGTIMEOUTWARNING: Astro 2-3(Fa2/17-24) - consecutive management requests timed out.
2016-06-02 12:37:36	Local7.Warning	10.37.1.23	300154: Jun  2 07:07:58.418: %SW_MATM-4-MACFLAP_NOTIF: Host 001b.4f13.7016 in vlan 119 is flapping between port Gi3/0/22 and port Gi3/0/18
2016-06-02 12:37:40	Local7.Warning	10.31.1.23	46451: Jun  2 06:38:49.692 UTC: %CDP-4-DUPLEX_MISMATCH: duplex mismatch discovered on GigabitEthernet1/0/34 (not full duplex), with north-bogota-ap2 GigabitEthernet0 (full duplex).
2016-06-02 12:37:41	Local7.Warning	10.71.1.66	20658: Jun  2 07:08:04.026 UTC: %SW_MATM-4-MACFLAP_NOTIF: Host e48d.8c95.0d47 in vlan 221 is flapping between port Fa0/16 and port Fa0/28
2016-06-02 12:37:45	Local7.Warning	10.243.175.254	415728: Jun  2 12:38:07 IST: %CDP-4-DUPLEX_MISMATCH: duplex mismatch discovered on FastEthernet3/72 (not half duplex), with SEP08CC6831D18A Port 1 (half duplex).
2016-06-02 12:37:48	Local7.Notice	10.240.16.11	80527: Jun  2 07:08:10.591: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/19, changed state to down
2016-06-02 12:37:49	Local7.Error	10.240.16.11	80528: Jun  2 07:08:11.591: %LINK-3-UPDOWN: Interface GigabitEthernet3/0/19, changed state to down
2016-06-02 12:37:49	Local7.Warning	10.31.1.22	27219: Jun  2 07:08:12.281 UTC: %CDP-4-DUPLEX_MISMATCH: duplex mismatch discovered on GigabitEthernet3/0/7 (not full duplex), with north-bogota-ap5 GigabitEthernet0 (full duplex).
2016-06-02 12:37:50	Local7.Warning	10.31.1.22	27220: Jun  2 07:08:12.280 UTC: %CDP-4-DUPLEX_MISMATCH: duplex mismatch discovered on GigabitEthernet3/0/7 (not full duplex), with north-bogota-ap5 GigabitEthernet0 (full duplex). (NBogota-Stack-S2-3)
2016-06-02 12:37:52	Local7.Error	10.92.224.53	29572: Jun  2 07:08:14.752: %LINK-3-UPDOWN: Interface Serial0/0/1, changed state to up
2016-06-02 12:37:52	Local7.Notice	10.92.224.53	29573: Jun  2 07:08:15.752: %LINEPROTO-5-UPDOWN: Line protocol on Interface Serial0/0/1, changed state to up
2016-06-02 12:37:53	Local7.Warning	10.37.1.23	300155: Jun  2 07:08:15.689: %SW_MATM-4-MACFLAP_NOTIF: Host 001b.4f13.7016 in vlan 119 is flapping between port Gi3/0/19 and port Gi3/0/15
2016-06-02 12:37:53	Local7.Warning	10.31.1.21	29404: Jun  2 07:08:16.065 UTC: %CDP-4-DUPLEX_MISMATCH: duplex mismatch discovered on GigabitEthernet4/0/2 (not full duplex), with north-bogota-ap4 GigabitEthernet0 (full duplex).
2016-06-02 12:37:54	Local7.Warning	10.31.1.21	29405: Jun  2 07:08:16.060 UTC: %CDP-4-DUPLEX_MISMATCH: duplex mismatch discovered on GigabitEthernet4/0/2 (not full duplex), with north-bogota-ap4 GigabitEthernet0 (full duplex). (NBogota-Stack-S1-4)
2016-06-02 12:37:57	Local7.Error	10.240.16.11	80529: Jun  2 07:08:19.791: %LINK-3-UPDOWN: Interface GigabitEthernet3/0/19, changed state to up
2016-06-02 12:37:57	Local7.Notice	10.240.16.11	80530: Jun  2 07:08:20.791: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/19, changed state to up
2016-06-02 12:37:57	Local7.Warning	10.71.1.66	20659: Jun  2 07:08:19.771 UTC: %SW_MATM-4-MACFLAP_NOTIF: Host e48d.8c95.0d47 in vlan 221 is flapping between port Fa0/28 and port Fa0/16
2016-06-02 12:37:59	Local7.Warning	10.246.64.12	2371: Jun  2 07:08:22.131: %SW_MATM-4-MACFLAP_NOTIF: Host 185e.0f96.576c in vlan 24 is flapping between port Gi1/0/48 and port Gi2/0/48
2016-06-02 12:38:02	Local7.Notice	10.250.2.133	216892: Jun  2 07:08:24.910 UTC: %SFF8472-5-THRESHOLD_VIOLATION: Gi1/0/1: Rx power high warning; Operating value:  -3.9 dBm, Threshold value:  -4.0 dBm.
2016-06-02 12:38:05	Local7.Notice	10.240.16.11	80531: Jun  2 07:08:27.848: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/19, changed state to down
2016-06-02 12:38:06	Local7.Error	10.240.16.11	80532: Jun  2 07:08:28.855: %LINK-3-UPDOWN: Interface GigabitEthernet3/0/19, changed state to down
2016-06-02 12:38:07	Local7.Info	189.206.28.84	131089: *Jun  2 07:30:25 UTC: %SEC-6-IPACCESSLOGNP: list 20 denied 0 40.74.123.105 -> 0.0.0.0, 1 packet
2016-06-02 12:38:11	Local7.Warning	10.246.64.12	2372: Jun  2 07:08:33.907: %SW_MATM-4-MACFLAP_NOTIF: Host 185e.0f96.576c in vlan 24 is flapping between port Gi3/0/47 and port Gi1/0/48
